@type	@id	name
relation	71428	Amtrak Cascades: Vancouver => Portland
relation	297142	Amtrak Sunset Limited: New Orleans => Los Angeles
relation	904839	Amtrak Southwest Chief: Los Angeles => Chicago
relation	905830	Amtrak California Zephyr
relation	1358974	Amtrak Lake Shore Limited: Chicago => New York
relation	1359387	Amtrak Vermonter: Washington => Saint Albans
relation	1532755	Amtrak City of New Orleans
relation	1590286	Amtrak Silver Meteor: New York => Miami
relation	1638760	Amtrak Hiawatha Service: Chicago => Milwaukee
relation	1665342	Amtrak Wolverine: Chicago => Pontiac
relation	1687374	Amtrak Blue Water: Chicago => Port Huron
relation	1809794	Amtrak Empire Builder: Chicago => Seattle
relation	1809808	Amtrak Crescent: New Orleans => New York
relation	1897938	Amtrak Silver Star: New York => Miami
relation	1900976	Amtrak Carolinian: New York => Charlotte
relation	1901007	Amtrak Piedmont: Raleigh => Charlotte
relation	1902680	Amtrak Illini/Saluki
relation	2145217	Lompoc–Surf
relation	2340849	Albion
relation	2604661	Paso Robles
relation	2648181	Amtrak Palmetto: New York => Savannah
relation	2744505	Berkeley
relation	2744526	Amtrak Pere Marquette: Chicago => Grand Rapids
relation	2794554	Amtrak Capitol Limited: Washington => Chicago
relation	2795760	Amtrak Texas Eagle: Chicago => San Antonio
relation	2807121	Amtrak Cardinal: Chicago => New York
relation	2812898	Amtrak Pacific Surfliner: San Diego => San Luis Obispo
relation	2812900	Amtrak Coast Starlight: Seattle => Los Angeles
relation	2845553	Amtrak Capitol Corridor
relation	2856113	Amtrak San Joaquins: Bakersfield => Sacramento
relation	3031186	Johnstown
relation	3517701	Amtrak Auto Train: Lorton => Sanford
relation	3522663	Merced
relation	3873431	Bellows Falls
relation	3873565	Whitefish
relation	3957474	Turlock-Denair
relation	4044002	Amtrak Pennsylvanian: Pittsburgh => New York
relation	4073816	CP Subdivision Adirondack
relation	4234377	Amtrak Empire Service: New York => Albany
relation	4234911	Amtrak Ethan Allen Express: New York => Rutland
relation	4235554	Modesto
relation	4237061	Schenectady
relation	4240611	Rhinecliff-Kingston
relation	4435449	Albany-Rensselaer
relation	4437671	Hudson
relation	4445771	Amtrak Ethan Allen Express: Rutland => New York
relation	4445810	Amtrak Ethan Allen Express
relation	4451098	Saratoga Springs
relation	4451148	Fort Edward-Glens Falls
relation	4451338	Ticonderoga
relation	4451339	Port Henry
relation	4451342	Westport
relation	4451345	Port Kent
relation	4452779	Amtrak Empire Service: Albany => New York
relation	4452798	Amtrak Empire Service
relation	4455119	Plattsburgh
relation	4455144	Rouses Point
relation	4455257	Rutland
relation	4455264	Castleton
relation	4463742	Saint Albans
relation	4467189	Amtrak Maple Leaf: New York => Niagara Falls
relation	4467190	Amtrak Maple Leaf: Niagara Falls => New York
relation	4475155	Pittsfield
relation	4482875	Rochester
relation	4482909	Cleveland
relation	4484512	Elkhart
relation	4668742	Amtrak San Joaquins: Bakersfield => Oakland
relation	4668743	Amtrak San Joaquins: Oakland => Bakersfield
relation	4668744	Amtrak San Joaquins
relation	4683280	Barstow
relation	4713797	Amtrak San Joaquins: Sacramento => Bakersfield
